,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH,1.5332821279968636,0.11877778572386434,12.908829026005348,coefficient,8.227865227803166e-32
2,HEIGHT,1.492975767178439,0.11481022175433166,13.003857534332397,coefficient,3.495031498054513e-32
3,AGE,0.0011509736820244536,0.007001891925553567,0.16438038379654912,coefficient,0.8695200345940036
4,CYCLIST_TYPENONCYCLIST,-0.05545185233289588,1.1548805340815487,-0.0480152281525773,coefficient,0.9617295995666886
5,CYCLIST_TYPERECREATIONAL,-0.07666872854380848,0.3253527376651286,-0.23564802034252513,coefficient,0.81383410503466
6,CYCLIST_TYPESOCIAL,0.1271213176480136,0.6278413398384968,0.2024736339928074,coefficient,0.8396559797055276
7,CYCLIST_TYPESOCIAL-REC,-0.11018115108349917,0.33926767628510535,-0.32476171113604074,coefficient,0.7455420361604068
8,CYCLIST_FREQMONTHLY,0.1539170648150883,0.3989057764046747,0.3858481724740564,coefficient,0.6998273343099364
9,CYCLIST_FREQRARELY,-0.09804713050857608,0.6559420162693104,-0.149475301286876,coefficient,0.8812587389826622
10,CYCLIST_FREQWEEKLY,0.12609119588447665,0.30063091841142375,0.4194219162511971,coefficient,0.6751473356051687
11,GENDERMale,-0.03359629503426022,0.2375461926796127,-0.14143057674501558,coefficient,0.8876055439701961
12,GENDERNon-binary / Non-conforming,0.03508568317304305,0.82957262387685,0.04229368492064839,coefficient,0.9662870291807368
13,GENDERPrefer not to say,0.08777148321517421,0.519734489218373,0.16887754235277605,coefficient,0.8659837745458208
14,1|2,1.5713798417710376,0.4324031797415092,3.6340617169152387,scale,0.0003177806675681389
15,2|3,3.2847300131079544,0.46379542354435505,7.082282071707031,scale,7.02006377705005e-12
16,3|4,4.514640421425547,0.48655622871207027,9.278764005089284,scale,1.3797697721506595e-18
17,4|5,5.861339392107074,0.5115063444660648,11.458976913034041,scale,2.808833434200309e-26
