,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH,0.01236902736889129,0.027469097582805316,0.450288813879123,coefficient,0.6527171468540449
2,HEIGHT,0.2913051688187316,0.06265802995100253,4.649127478896593,coefficient,4.376409679802087e-06
3,AGE,0.0005850759393364412,0.005884226420224116,0.09943124168803774,coefficient,0.9208397670231109
4,CYCLIST_TYPENONCYCLIST,0.15594415588373264,0.9053507202510793,0.1722472323659111,coefficient,0.8633199221189332
5,CYCLIST_TYPERECREATIONAL,0.03538652972939938,0.27918852774604913,0.1267477930238849,coefficient,0.8991961321551624
6,CYCLIST_TYPESOCIAL,0.07041551743474815,0.5307173191402886,0.13267989359912838,coefficient,0.8945053295148386
7,CYCLIST_TYPESOCIAL-REC,-0.015255589486137968,0.2805459767683916,-0.05437821515698448,coefficient,0.9566577553990454
8,CYCLIST_FREQMONTHLY,0.016423994433150152,0.3339836189193264,0.049176047874124516,coefficient,0.9608006254624845
9,CYCLIST_FREQRARELY,-0.0144475622116878,0.5533262984052886,-0.026110384150050934,coefficient,0.9791807672282367
10,CYCLIST_FREQWEEKLY,0.0163754200918907,0.2506689807545178,0.06532687069058331,coefficient,0.9479425036611655
11,GENDERMale,-0.010205093635397136,0.20175662622366689,-0.05058120680548948,coefficient,0.9596814842190293
12,GENDERNon-binary / Non-conforming,-0.054427974394184515,0.7458475536239494,-0.07297466369598993,coefficient,0.9418584177290934
13,GENDERPrefer not to say,0.0227539236350253,0.4681042891697511,0.04860866298700785,coefficient,0.961252542220671
14,1|2,-1.1742950888129065,0.33535410043409075,-3.5016571656433286,scale,0.0005081119523548997
15,2|3,-0.1704589549698765,0.32945554279865097,-0.5173959239594693,scale,0.6051317940281309
16,3|4,0.6211546836202908,0.33223104186986896,1.8696467377771095,scale,0.06217633017778052
17,4|5,1.394506760579814,0.3382521283032369,4.122684364397151,scale,4.453075571015737e-05
18,5|6,2.333905315364472,0.34926966380086105,6.6822445727641755,scale,6.910443924426775e-11
