,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH:CYCLIST_FREQDAILY,0.04334729276740604,0.04309819939444283,1.005779670066572,coefficient,0.31505148618011575
2,WIDTH:CYCLIST_FREQMONTHLY,-0.047865872421721,0.06258384347997813,-0.7648279453631558,coefficient,0.44476704306826376
3,WIDTH:CYCLIST_FREQRARELY,-0.12172248631806927,0.08159892891988564,-1.4917167164973109,coefficient,0.1364603669799379
4,WIDTH:CYCLIST_FREQWEEKLY,0.05440030297905794,0.04824334354827148,1.1276229833578164,coefficient,0.26006827537663435
5,HEIGHT:CYCLIST_FREQDAILY,0.19935801373347886,0.09396531175348782,2.1216128591844856,coefficient,0.034405463924839896
6,HEIGHT:CYCLIST_FREQMONTHLY,0.38419837890944175,0.1366349409917532,2.8118603932549773,coefficient,0.00513659025123239
7,HEIGHT:CYCLIST_FREQRARELY,0.6225432200059151,0.17851404425214312,3.487362703668293,coefficient,0.0005347730006489142
8,HEIGHT:CYCLIST_FREQWEEKLY,0.2460559136004791,0.10428003165778911,2.3595688425560635,coefficient,0.018713950454406283
9,1|2,-1.2283227886941817,0.13757060420456138,-8.928671904847638,scale,1.0432508136154918e-17
10,2|3,-0.22095280057162747,0.12147087243149766,-1.8189776375915279,scale,0.06956629125526506
11,3|4,0.5756380066313799,0.12682609545956725,4.538797828203235,scale,7.235616067448503e-06
12,4|5,1.3584031566643135,0.1411777433023304,9.62193561739622,scale,4.368665319168423e-20
13,5|6,2.312609310411071,0.1653498452123258,13.986159511921217,scale,2.8086619925986152e-37
