,term,estimate,std.error,statistic,coef.type,p.value
1,WIDTH:CYCLIST_TYPECOMMUTER,0.02780008750667931,0.04631655748217949,0.600219209240141,coefficient,0.548657665050335
2,WIDTH:CYCLIST_TYPENONCYCLIST,0.3058092055917862,0.28837615246260256,1.0604524784047267,coefficient,0.2894989205519549
3,WIDTH:CYCLIST_TYPERECREATIONAL,0.0733054154032008,0.061806861882821404,1.1860400798568178,coefficient,0.2362227386590392
4,WIDTH:CYCLIST_TYPESOCIAL,-0.2172790708713161,0.08502497365818498,-2.555473545276419,coefficient,0.010927046226723629
5,WIDTH:CYCLIST_TYPESOCIAL-REC,0.022565453683619986,0.045410144874880605,0.4969253840919246,coefficient,0.619480633309041
6,HEIGHT:CYCLIST_TYPECOMMUTER,0.25065047909021243,0.10149680915759071,2.4695404828050878,coefficient,0.01389308484820298
7,HEIGHT:CYCLIST_TYPENONCYCLIST,0.19168375007064217,0.49545159713589987,0.3868869354316851,coefficient,0.699020002860127
8,HEIGHT:CYCLIST_TYPERECREATIONAL,0.2421970098078099,0.13070843081701258,1.8529562958863577,coefficient,0.06453304783418919
9,HEIGHT:CYCLIST_TYPESOCIAL,0.7882545729302495,0.18937913588375865,4.162309481727078,coefficient,3.765719485835274e-05
10,HEIGHT:CYCLIST_TYPESOCIAL-REC,0.23680791657599895,0.09920371814789562,2.3870871071884547,coefficient,0.017388146327783134
11,1|2,-1.229805792172109,0.13787222207705663,-8.91989534690151,scale,1.1301964181397631e-17
12,2|3,-0.2220983957185838,0.1218208599764454,-1.8231557038878852,scale,0.06893295295440097
13,3|4,0.5754207038886593,0.12719346914611881,4.523979947646689,scale,7.746102323582374e-06
14,4|5,1.3625587729733994,0.14169635688927265,9.6160466146505,scale,4.657046246865886e-20
15,5|6,2.330010623830607,0.16652500815156165,13.991956221434098,scale,2.808533625132451e-37
